aX,aY,aZ,gX,gY,gZ
0.220,0.171,0.356,-63.232,-213.989,114.685
0.214,0.122,0.500,-63.782,-208.069,90.942
0.216,0.096,0.582,-66.895,-194.031,69.946
0.220,0.125,0.648,-73.792,-178.467,52.307
0.207,0.127,0.724,-78.918,-165.649,34.973
0.187,0.081,0.813,-80.872,-154.236,18.738
0.167,0.046,0.896,-82.031,-143.616,5.859
0.153,0.021,0.978,-83.069,-133.728,-3.662
0.142,-0.024,1.055,-81.482,-123.352,-13.000
0.130,-0.096,1.125,-76.416,-113.220,-19.531
0.116,-0.185,1.179,-66.956,-102.966,-23.254
0.121,-0.265,1.218,-55.786,-92.224,-22.888
0.126,-0.335,1.240,-43.579,-81.238,-19.531
0.142,-0.396,1.232,-32.593,-69.519,-14.893
0.174,-0.430,1.208,-20.325,-57.129,-8.606
0.221,-0.437,1.179,-10.315,-45.288,-2.869
0.265,-0.426,1.123,-2.014,-33.081,1.709
0.317,-0.433,1.039,4.395,-20.569,5.310
0.364,-0.453,0.941,8.728,-8.606,7.874
0.425,-0.479,0.813,11.353,1.526,10.071
0.488,-0.474,0.698,10.620,9.277,11.719
0.536,-0.483,0.598,9.644,14.771,12.146
0.579,-0.505,0.508,8.240,18.433,11.963
0.618,-0.493,0.429,7.812,20.264,11.719
0.655,-0.479,0.347,9.277,21.118,10.559
0.680,-0.517,0.284,12.634,20.142,7.812
0.698,-0.585,0.240,15.442,18.799,5.188
0.720,-0.615,0.218,16.235,17.395,4.883
0.735,-0.600,0.213,14.526,16.113,5.615
0.748,-0.574,0.210,12.695,14.771,5.310
0.750,-0.581,0.212,11.292,12.878,2.991
0.745,-0.617,0.217,9.338,11.108,0.305
0.735,-0.642,0.234,6.042,9.705,-1.221
0.728,-0.627,0.250,0.793,8.484,-2.014
0.717,-0.617,0.280,-3.357,6.775,-3.235
0.701,-0.626,0.307,-6.042,4.700,-4.883
0.686,-0.651,0.305,-7.690,3.540,-6.287
0.694,-0.695,0.210,-9.094,1.282,-6.348
0.677,-0.684,0.154,-11.780,-7.019,-4.700
0.634,-0.609,0.427,-14.038,-19.775,-3.540
0.604,-0.625,0.628,-11.597,-20.386,-3.357
0.584,-0.628,0.680,-7.690,-10.986,-2.380
0.598,-0.637,0.606,-2.502,1.160,-0.793
0.617,-0.623,0.508,-0.916,9.033,0.977
0.543,-0.114,0.738,-8.850,-17.090,-25.452
0.534,-0.140,0.802,-8.850,-20.874,-24.841
0.526,-0.171,0.865,-8.850,-21.790,-23.682
0.527,-0.185,0.855,-8.240,-19.775,-20.081
0.537,-0.183,0.811,-8.179,-16.907,-15.259
0.540,-0.150,0.822,-9.094,-16.052,-11.353
0.532,-0.113,0.860,-9.766,-15.625,-8.667
0.538,-0.089,0.828,-10.132,-13.123,-7.080
0.565,-0.070,0.794,-10.803,-11.658,-7.141
0.578,-0.036,0.825,-10.620,-13.977,-8.545
0.565,-0.012,0.880,-7.568,-17.395,-10.864
0.579,-0.028,0.857,-4.150,-18.005,-13.611
0.604,-0.034,0.827,-2.747,-19.409,-16.907
0.589,-0.015,0.838,-1.099,-24.536,-19.409
0.567,0.007,0.869,-0.305,-30.396,-22.034
0.556,0.013,0.877,1.038,-34.546,-26.062
0.521,0.021,0.851,3.235,-37.903,-30.029
0.499,0.000,0.756,7.080,-40.955,-34.302
0.499,-0.031,0.654,10.132,-46.875,-39.490
0.494,-0.060,0.635,12.268,-58.655,-44.495
0.448,-0.076,0.694,15.503,-73.975,-48.584
0.405,-0.081,0.781,19.348,-87.402,-52.246
0.370,-0.088,0.892,22.583,-97.107,-57.739
0.341,-0.120,0.964,25.391,-103.455,-64.087
0.319,-0.153,0.999,29.297,-107.483,-69.336
0.290,-0.150,0.982,36.987,-111.633,-70.374
0.276,-0.111,0.897,50.415,-117.981,-70.190
0.255,-0.077,0.795,68.298,-128.357,-72.449
0.222,-0.084,0.729,92.224,-143.066,-75.989
0.174,-0.144,0.763,117.920,-160.217,-80.811
0.111,-0.261,0.843,142.578,-176.086,-84.778
0.039,-0.363,0.852,162.842,-185.425,-83.923
0.019,-0.440,0.793,176.331,-189.575,-79.895
-0.063,-0.563,0.753,190.613,-196.960,-75.867
-0.124,-0.662,0.741,197.327,-203.064,-69.641
-0.184,-0.703,0.746,196.045,-205.200,-61.951
-0.248,-0.759,0.814,198.303,-208.008,-53.101
-0.283,-0.840,0.889,200.073,-208.801,-47.241
-0.325,-0.948,0.875,198.242,-206.848,-43.213
-0.380,-1.059,0.822,201.965,-207.581,-32.349
-0.427,-1.110,0.800,203.674,-210.937,-17.700
-0.474,-1.120,0.790,198.608,-214.172,-4.700
-0.525,-1.143,0.785,192.566,-216.187,5.737
-0.567,-1.209,0.758,186.035,-216.919,15.442
-0.607,-1.280,0.716,177.917,-217.651,26.367
-0.645,-1.276,0.711,167.297,-218.384,39.429
-0.695,-1.225,0.822,159.180,-217.773,51.331
-0.719,-1.214,0.922,157.471,-210.937,60.547
-0.710,-1.253,0.897,160.522,-198.486,68.237
-0.694,-1.305,0.775,164.734,-187.134,77.271
-0.683,-1.328,0.660,166.382,-181.519,88.074
-0.674,-1.292,0.575,164.246,-180.786,98.389
-0.676,-1.233,0.512,162.292,-183.044,106.812
-0.672,-1.243,0.439,162.476,-186.523,111.328
-0.685,-1.311,0.366,164.246,-192.322,114.929
-0.705,-1.360,0.313,164.185,-199.158,120.300
-0.716,-1.396,0.251,161.621,-205.505,127.197
-0.733,-1.426,0.169,159.119,-212.036,135.071
-0.756,-1.482,0.112,157.288,-220.642,143.677
-0.787,-1.548,0.092,156.555,-230.164,153.320
-0.799,-1.585,0.071,157.837,-239.319,165.344
-0.804,-1.592,0.030,157.898,-247.314,178.955
-0.809,-1.600,-0.003,154.724,-253.235,191.956
-0.805,-1.610,-0.022,148.621,-257.080,203.674
-0.786,-1.559,-0.047,140.015,-258.728,216.125
-0.752,-1.437,-0.069,129.822,-259.888,227.173
-0.709,-1.365,-0.079,120.361,-261.292,232.910
-0.679,-1.321,-0.076,110.840,-261.780,235.046
-0.649,-1.314,-0.066,101.379,-260.742,236.328
-0.666,-1.334,-0.107,91.797,-258.057,238.892
-0.604,-1.338,-0.207,82.947,-254.761,244.263
-0.602,-1.323,-0.268,77.026,-258.057,251.892
-0.606,-1.299,-0.264,71.533,-265.015,259.033
-0.594,-1.199,-0.198,68.176,-271.851,268.250
-0.534,-1.036,-0.123,65.918,-275.330,277.161
-0.450,-0.858,-0.078,67.871,-277.527,280.457
-0.385,-0.744,-0.045,72.571,-281.433,277.527
-0.326,-0.729,-0.014,76.843,-286.743,268.433
-0.274,-0.687,0.083,76.172,-291.077,257.935
-0.220,-0.592,0.256,66.772,-292.358,246.521
-0.155,-0.518,0.403,50.598,-284.485,231.750
-0.109,-0.492,0.470,32.166,-268.677,215.637
-0.054,-0.491,0.475,11.658,-249.390,200.500
-0.029,-0.493,0.470,-7.812,-231.323,188.354
-0.022,-0.471,0.450,-26.550,-214.355,179.443
0.013,-0.409,0.404,-43.030,-198.425,173.828
0.046,-0.353,0.314,-55.481,-187.561,169.128
0.051,-0.237,0.310,-63.782,-184.204,164.185
0.086,-0.118,0.372,-65.857,-185.181,156.921
0.131,0.014,0.544,-64.331,-187.378,145.752
0.170,0.145,0.750,-58.350,-187.988,130.005
0.183,0.168,0.918,-47.668,-184.387,110.229
0.193,0.073,1.027,-38.391,-174.377,87.891
0.197,-0.051,1.074,-36.560,-159.607,68.542
0.208,-0.115,1.087,-39.978,-143.982,54.993
0.227,-0.120,1.107,-45.776,-130.493,44.617
0.243,-0.094,1.171,-49.744,-119.873,35.278
0.251,-0.133,1.260,-49.438,-108.582,26.672
0.266,-0.210,1.318,-47.485,-92.529,19.348
0.291,-0.288,1.337,-44.312,-72.693,15.808
0.320,-0.304,1.302,-40.405,-51.575,16.663
0.367,-0.307,1.192,-33.386,-31.677,19.104
0.410,-0.328,1.057,-24.475,-16.174,21.484
0.461,-0.348,0.914,-15.076,-5.066,24.048
0.498,-0.341,0.781,-7.751,1.282,26.672
0.544,-0.334,0.670,-2.380,5.371,28.015
0.589,-0.323,0.581,1.343,7.446,28.015
0.628,-0.326,0.521,4.333,7.690,26.550
0.656,-0.336,0.488,6.531,8.179,24.231
0.682,-0.341,0.472,7.690,8.728,21.973
0.707,-0.351,0.456,8.911,10.254,19.165
0.723,-0.366,0.422,9.827,12.146,15.930
0.744,-0.395,0.377,10.437,13.672,12.268
0.755,-0.422,0.353,10.193,13.733,8.789
0.755,-0.446,0.346,8.484,12.756,5.310
0.755,-0.491,0.328,7.568,11.475,2.136
0.769,-0.549,0.235,6.897,9.705,-0.183
0.789,-0.631,0.043,3.601,2.197,-0.793
0.747,-0.557,0.268,-1.831,-13.611,0.122
0.368,-0.385,0.749,-5.554,-26.794,-67.200
0.341,-0.459,0.807,-0.061,-33.569,-70.984
0.301,-0.527,0.871,2.747,-38.086,-71.777
0.302,-0.589,0.897,3.052,-38.696,-70.190
0.296,-0.618,0.899,0.244,-38.879,-67.993
0.299,-0.656,0.887,0.305,-41.443,-62.866
0.297,-0.657,0.899,0.549,-45.898,-56.213
0.290,-0.634,0.938,1.343,-50.110,-49.194
0.284,-0.613,0.990,5.554,-53.223,-42.053
0.290,-0.568,1.013,9.705,-54.321,-36.133
0.298,-0.517,1.001,11.902,-53.162,-32.593
0.314,-0.467,0.977,14.282,-51.025,-31.067
0.333,-0.408,0.946,18.799,-49.500,-30.762
0.333,-0.335,0.941,25.146,-48.706,-32.227
0.312,-0.332,0.959,33.630,-47.363,-37.354
0.301,-0.394,0.964,40.161,-44.128,-45.715
0.297,-0.483,0.932,45.959,-40.527,-52.063
0.286,-0.560,0.899,50.415,-38.940,-54.260
0.279,-0.597,0.886,52.917,-39.795,-53.101
0.282,-0.593,0.874,55.420,-41.992,-50.232
0.274,-0.583,0.859,59.021,-45.410,-47.302
0.264,-0.561,0.866,63.599,-48.889,-45.288
0.271,-0.528,0.851,69.519,-51.208,-44.495
0.287,-0.492,0.785,78.430,-54.077,-44.983
0.282,-0.466,0.711,90.881,-59.937,-46.692
0.257,-0.496,0.681,103.455,-68.787,-50.781
0.229,-0.574,0.685,113.281,-77.454,-56.091
0.200,-0.618,0.679,118.958,-83.313,-58.716
0.157,-0.629,0.704,121.643,-87.402,-59.753
0.111,-0.699,0.744,123.840,-90.942,-61.523
0.074,-0.783,0.759,126.831,-93.933,-62.012
0.057,-0.769,0.713,133.179,-96.558,-58.167
0.034,-0.753,0.668,143.555,-102.234,-54.871
0.005,-0.818,0.661,155.151,-110.229,-54.810
-0.031,-0.901,0.647,164.490,-118.469,-55.115
-0.078,-0.959,0.594,172.058,-125.977,-53.101
-0.127,-1.042,0.551,180.359,-135.376,-49.255
-0.213,-1.189,0.557,186.768,-145.386,-45.227
-0.239,-1.396,0.537,181.458,-152.527,-44.006
-0.303,-1.364,0.592,165.344,-157.532,-35.339
-0.315,-1.361,0.649,173.523,-159.302,-14.526
-0.316,-1.244,0.651,174.255,-157.654,-1.587
-0.323,-1.197,0.557,186.951,-159.668,5.249
-0.339,-1.245,0.390,209.595,-167.908,9.033
-0.389,-1.353,0.214,231.567,-182.312,11.047
-0.478,-1.552,0.067,251.465,-202.698,13.977
-0.577,-1.859,-0.035,266.602,-226.074,20.447
-0.666,-2.168,-0.116,271.606,-248.413,35.095
-0.753,-2.284,-0.082,263.977,-267.090,61.157
-0.817,-2.183,0.117,248.169,-277.161,92.041
-0.811,-2.010,0.228,233.459,-269.653,117.065
-0.738,-1.864,0.133,224.854,-252.075,134.521
-0.634,-1.755,-0.069,218.506,-238.647,145.447
-0.527,-1.664,-0.293,211.975,-236.023,151.672
-0.478,-1.569,-0.453,214.294,-248.169,157.837
-0.481,-1.578,-0.527,226.318,-272.278,163.940
-0.497,-1.637,-0.607,240.356,-298.523,169.556
-0.541,-1.729,-0.714,255.005,-325.500,178.528
-0.607,-1.831,-0.806,267.700,-353.699,191.101
-0.679,-1.959,-0.934,278.320,-380.371,206.726
-0.778,-2.089,-1.043,286.377,-406.616,225.830
-0.841,-2.118,-1.065,282.532,-432.312,246.460
-0.857,-2.034,-0.986,263.245,-454.102,264.954
-0.830,-1.829,-0.817,237.976,-470.947,281.311
-0.816,-1.536,-0.519,213.806,-483.887,293.457
-0.752,-1.314,-0.166,193.298,-485.107,296.936
-0.658,-1.193,0.056,175.659,-469.849,292.969
-0.520,-1.098,0.124,149.109,-444.519,285.339
-0.359,-0.836,0.158,109.253,-415.405,275.818
-0.198,-0.425,0.243,61.218,-387.268,262.024
-0.062,-0.081,0.309,17.395,-359.253,237.488
0.057,0.135,0.344,-19.714,-329.407,201.599
0.117,0.350,0.493,-53.711,-300.720,157.104
0.151,0.414,0.669,-74.524,-268.311,114.624
0.191,0.349,0.693,-87.341,-229.309,74.280
0.226,0.240,0.600,-95.947,-194.458,42.969
0.231,0.146,0.515,-102.112,-171.387,21.545
0.224,0.044,0.515,-101.807,-161.682,8.789
0.211,-0.050,0.575,-93.140,-159.607,3.845
0.211,-0.086,0.646,-81.970,-157.410,4.517
0.207,-0.096,0.712,-69.763,-152.222,7.507
0.215,-0.130,0.777,-57.251,-145.142,9.888
0.234,-0.156,0.840,-45.898,-137.451,12.329
0.263,-0.136,0.891,-39.917,-128.479,14.160
0.285,-0.102,0.938,-37.842,-117.859,13.367
0.310,-0.077,0.996,-37.903,-104.248,9.216
0.324,-0.078,1.044,-38.452,-87.952,2.869
0.338,-0.092,1.036,-39.124,-69.397,-3.784
0.367,-0.135,0.950,-38.452,-50.659,-10.559
0.390,-0.213,0.846,-35.767,-36.682,-15.381
0.410,-0.291,0.762,-30.823,-28.625,-16.968
0.432,-0.333,0.710,-24.414,-24.536,-14.893
0.452,-0.351,0.679,-17.334,-22.400,-11.108
0.470,-0.376,0.664,-8.728,-20.935,-6.958
0.489,-0.403,0.669,1.160,-19.409,-3.052
0.506,-0.425,0.689,9.705,-17.090,0.488
0.528,-0.435,0.688,15.930,-12.451,3.662
0.563,-0.424,0.644,19.043,-5.310,5.432
0.597,-0.394,0.588,19.897,1.038,5.066
0.619,-0.404,0.534,19.348,6.042,1.770
0.631,-0.451,0.499,17.029,10.681,-2.441
0.643,-0.493,0.457,14.038,14.954,-6.287
0.657,-0.517,0.403,10.742,18.860,-9.094
0.675,-0.535,0.355,8.118,21.118,-11.597
0.688,-0.578,0.331,7.141,20.813,-13.489
0.693,-0.634,0.332,7.751,18.799,-14.160
0.695,-0.669,0.342,8.362,16.907,-12.817
0.698,-0.677,0.349,9.460,15.320,-9.827
0.705,-0.678,0.360,11.047,14.404,-6.897
0.713,-0.680,0.377,12.207,13.611,-4.150
0.724,-0.669,0.387,11.902,14.160,-1.953
0.733,-0.643,0.376,10.193,16.174,-0.549
0.750,-0.630,0.355,7.996,18.372,-0.061
0.762,-0.606,0.327,5.493,20.020,-0.183
0.770,-0.595,0.309,2.991,20.325,-0.671
0.776,-0.606,0.292,1.099,19.470,-1.282
0.782,-0.596,0.285,-0.183,17.761,-1.343
0.787,-0.578,0.285,-0.916,15.625,-1.160
0.790,-0.572,0.299,-1.282,13.245,-1.343
0.385,-0.219,0.885,23.010,-20.447,-87.524
0.373,-0.221,0.866,33.447,-22.278,-86.121
0.349,-0.224,0.821,39.124,-22.095,-87.280
0.345,-0.296,0.742,40.283,-21.118,-90.820
0.347,-0.373,0.708,36.194,-23.193,-95.032
0.341,-0.407,0.743,31.860,-28.809,-96.802
0.331,-0.442,0.768,29.480,-34.851,-96.497
0.330,-0.444,0.770,28.503,-39.246,-94.604
0.333,-0.453,0.778,30.823,-44.434,-92.102
0.324,-0.469,0.780,38.086,-50.903,-87.646
0.315,-0.459,0.743,49.805,-57.007,-81.055
0.289,-0.464,0.722,63.721,-63.843,-75.623
0.274,-0.484,0.709,73.547,-68.604,-73.181
0.240,-0.532,0.727,76.538,-72.510,-73.853
0.214,-0.589,0.754,73.853,-73.486,-72.876
0.186,-0.666,0.764,68.176,-73.425,-71.289
0.183,-0.685,0.743,58.350,-71.594,-67.261
0.187,-0.661,0.745,46.936,-70.251,-62.622
0.181,-0.641,0.792,41.138,-73.181,-58.411
0.181,-0.642,0.852,45.166,-78.003,-52.673
0.175,-0.594,0.909,53.833,-82.275,-44.739
0.188,-0.488,0.911,68.665,-85.205,-37.354
0.190,-0.381,0.885,89.111,-88.867,-33.508
0.144,-0.336,0.851,108.032,-92.346,-36.133
0.139,-0.353,0.750,119.019,-91.858,-46.204
0.130,-0.421,0.635,128.601,-91.980,-57.800
0.099,-0.498,0.571,138.123,-97.900,-66.650
0.074,-0.583,0.551,149.109,-107.910,-71.472
0.019,-0.651,0.540,162.109,-118.164,-72.693
-0.039,-0.696,0.508,173.340,-126.221,-71.350
-0.103,-0.709,0.474,181.213,-132.568,-70.862
-0.101,-0.788,0.420,192.627,-140.259,-72.021
-0.165,-0.750,0.403,194.031,-150.085,-80.811
-0.256,-0.806,0.368,211.365,-162.903,-81.116
-0.329,-0.936,0.322,237.854,-173.767,-79.590
-0.388,-1.048,0.244,246.826,-181.702,-81.604
-0.449,-1.146,0.172,252.502,-189.026,-80.811
-0.505,-1.278,0.147,258.240,-198.486,-77.271
-0.580,-1.446,0.182,261.353,-206.909,-71.411
-0.623,-1.617,0.247,262.207,-211.304,-59.875
-0.637,-1.733,0.277,261.414,-209.595,-41.992
-0.636,-1.786,0.224,258.972,-204.285,-19.470
-0.630,-1.795,0.072,257.935,-198.608,3.906
-0.612,-1.689,-0.130,259.155,-196.472,25.818
-0.621,-1.536,-0.284,265.381,-204.041,40.833
-0.678,-1.528,-0.400,277.100,-220.215,45.837
-0.757,-1.698,-0.552,286.804,-238.403,45.105
-0.844,-1.959,-0.774,290.955,-255.859,47.607
-0.951,-2.180,-1.005,289.368,-276.123,58.777
-1.046,-2.324,-1.162,281.372,-300.598,76.538
-1.146,-2.413,-1.189,268.494,-327.637,96.863
-1.232,-2.445,-1.014,255.493,-351.807,120.789
-1.287,-2.409,-0.744,242.249,-364.197,147.827
-1.227,-2.341,-0.601,224.365,-357.178,172.729
-1.103,-2.186,-0.601,201.172,-340.820,197.021
-0.958,-1.877,-0.667,176.880,-327.454,217.896
-0.807,-1.539,-0.711,155.273,-321.228,229.675
-0.645,-1.339,-0.750,137.695,-319.397,228.577
-0.569,-1.297,-0.782,123.474,-319.275,220.276
-0.524,-1.373,-0.816,110.901,-319.397,213.928
-0.480,-1.429,-0.839,99.365,-319.702,214.172
-0.451,-1.318,-0.735,86.731,-320.557,222.107
-0.394,-1.067,-0.530,72.693,-316.345,228.271
-0.311,-0.885,-0.391,69.031,-303.894,228.943
-0.213,-0.872,-0.423,77.209,-286.072,222.107
-0.118,-0.929,-0.584,85.144,-269.592,215.027
-0.046,-0.919,-0.743,87.036,-262.268,215.210
-0.008,-0.742,-0.797,79.651,-266.602,215.271
0.001,-0.610,-0.752,76.111,-277.405,210.327
-0.006,-0.634,-0.668,72.388,-287.476,198.120
0.013,-0.621,-0.561,61.279,-293.091,185.974
0.051,-0.502,-0.493,43.274,-296.936,176.819
0.072,-0.331,-0.342,18.188,-299.072,163.269
0.098,-0.140,-0.164,-4.944,-297.302,145.935
0.096,-0.018,0.062,-22.034,-290.527,124.939
0.088,-0.049,0.255,-34.668,-276.611,100.464
0.079,-0.172,0.371,-40.833,-257.629,80.750
0.076,-0.225,0.478,-48.096,-237.610,70.313
0.107,-0.218,0.520,-54.260,-217.468,65.735
0.156,-0.131,0.517,-54.688,-201.111,65.063
0.200,-0.011,0.541,-50.903,-190.979,63.477
0.232,0.054,0.581,-44.128,-183.716,56.702
0.252,0.038,0.611,-36.804,-177.368,46.631
0.264,-0.009,0.613,-32.043,-169.983,36.865
0.281,-0.003,0.601,-32.104,-161.621,29.236
0.291,0.015,0.632,-32.776,-153.687,22.705
0.293,0.066,0.758,-34.851,-145.203,15.198
0.297,0.068,0.891,-33.875,-132.629,5.981
0.309,0.031,0.978,-33.325,-115.784,-3.479
0.326,-0.012,1.020,-34.607,-97.168,-11.414
0.346,-0.027,1.016,-36.621,-77.820,-17.578
0.375,-0.037,0.975,-37.048,-60.974,-22.461
0.400,-0.066,0.950,-34.668,-48.767,-26.428
0.407,-0.106,0.951,-30.029,-40.039,-29.175
0.408,-0.164,0.942,-24.292,-31.189,-30.640
0.426,-0.236,0.899,-17.578,-21.240,-30.518
0.454,-0.275,0.837,-11.108,-11.963,-27.649
0.490,-0.274,0.779,-4.822,-4.944,-23.315
0.522,-0.299,0.734,0.488,0.244,-20.508
0.550,-0.344,0.709,5.127,4.822,-18.677
0.575,-0.361,0.715,8.362,9.705,-16.541
0.615,-0.356,0.710,10.254,16.174,-14.648
0.640,-0.376,0.653,11.780,24.658,-14.526
0.678,-0.437,0.579,12.207,31.616,-14.221
0.711,-0.452,0.523,12.329,35.645,-13.184
0.744,-0.456,0.480,11.841,38.208,-11.536
0.773,-0.459,0.425,11.902,40.833,-10.193
0.803,-0.485,0.351,13.245,42.908,-8.972
0.833,-0.505,0.274,14.343,43.579,-7.141
0.861,-0.516,0.216,14.587,42.664,-5.005
0.888,-0.527,0.173,14.771,40.222,-3.174
0.911,-0.530,0.133,14.587,36.804,-1.770
0.929,-0.499,0.117,13.428,33.142,-1.221
0.942,-0.504,0.122,13.123,29.602,-1.831
0.948,-0.540,0.115,12.024,27.588,-3.357
0.956,-0.565,0.096,10.071,26.184,-4.089
0.964,-0.568,0.088,7.629,24.353,-3.601
0.963,-0.562,0.090,5.127,22.034,-3.235
0.964,-0.568,0.100,3.540,19.043,-2.991
0.438,-0.282,0.851,-6.592,-0.854,-24.597
0.436,-0.283,0.853,-5.371,-1.892,-25.146
0.429,-0.268,0.839,-3.296,-2.441,-25.085
0.424,-0.286,0.816,-0.732,-3.235,-25.696
0.429,-0.310,0.802,1.221,-4.700,-26.062
0.427,-0.322,0.801,2.441,-7.507,-25.635
0.420,-0.306,0.807,3.723,-10.559,-23.621
0.409,-0.285,0.808,4.883,-13.245,-22.583
0.412,-0.291,0.793,6.409,-15.320,-23.376
0.404,-0.300,0.797,7.019,-18.127,-25.024
0.393,-0.316,0.828,8.789,-21.667,-26.062
0.373,-0.330,0.863,10.803,-24.109,-26.672
0.375,-0.352,0.860,12.329,-24.475,-26.550
0.377,-0.359,0.848,12.634,-23.987,-25.818
0.360,-0.358,0.867,13.672,-24.292,-23.743
0.354,-0.360,0.883,15.259,-24.170,-21.423
0.360,-0.360,0.869,16.174,-22.217,-18.921
0.373,-0.344,0.834,16.602,-19.348,-15.869
0.397,-0.289,0.787,15.625,-16.968,-13.855
0.407,-0.258,0.762,17.334,-17.883,-14.587
0.397,-0.244,0.748,21.667,-19.897,-16.296
0.404,-0.238,0.730,25.085,-22.095,-18.250
0.405,-0.251,0.700,30.151,-26.001,-20.508
0.402,-0.262,0.630,36.316,-31.250,-22.644
0.381,-0.267,0.659,42.175,-38.940,-24.963
0.359,-0.294,0.723,48.767,-45.105,-27.649
0.353,-0.312,0.760,52.979,-47.729,-30.151
0.367,-0.286,0.733,59.143,-48.706,-31.128
0.397,-0.209,0.662,69.092,-52.917,-32.288
0.415,-0.112,0.567,88.135,-64.148,-35.889
0.421,-0.060,0.481,116.150,-82.825,-42.908
0.385,-0.040,0.449,146.362,-105.530,-54.016
0.313,-0.070,0.417,176.208,-127.441,-68.909
0.222,-0.125,0.378,201.782,-147.217,-85.144
0.115,-0.233,0.354,225.037,-165.466,-101.624
-0.007,-0.453,0.344,243.103,-180.298,-117.859
-0.168,-0.716,0.326,250.183,-190.430,-130.859
-0.263,-0.992,0.375,249.756,-196.106,-136.475
-0.396,-1.251,0.365,233.154,-196.533,-147.766
-0.501,-1.449,0.379,206.238,-199.097,-140.442
-0.556,-1.644,0.420,212.585,-202.820,-114.441
-0.567,-1.641,0.445,194.641,-204.468,-90.210
-0.585,-1.567,0.422,183.594,-207.581,-65.308
-0.593,-1.518,0.368,178.040,-212.524,-43.091
-0.602,-1.461,0.331,168.274,-219.238,-26.672
-0.616,-1.378,0.333,158.630,-226.929,-12.512
-0.606,-1.301,0.342,151.855,-231.628,-2.502
-0.620,-1.241,0.409,144.775,-233.032,2.991
-0.638,-1.224,0.542,142.029,-228.882,7.812
-0.628,-1.244,0.578,141.907,-214.294,12.268
-0.601,-1.262,0.444,140.503,-194.458,16.907
-0.578,-1.265,0.257,139.954,-180.542,22.644
-0.571,-1.244,0.187,139.648,-176.941,27.161
-0.583,-1.212,0.189,142.090,-179.504,30.640
-0.599,-1.232,0.182,146.057,-181.580,32.593
-0.609,-1.311,0.138,146.484,-180.115,32.715
-0.618,-1.393,0.075,142.395,-177.368,34.912
-0.620,-1.438,-0.016,136.169,-175.659,39.429
-0.618,-1.471,-0.105,130.127,-177.612,45.654
-0.621,-1.482,-0.172,125.549,-183.167,53.528
-0.633,-1.455,-0.182,120.789,-190.674,61.890
-0.640,-1.417,-0.137,116.760,-196.655,68.909
-0.637,-1.425,-0.133,115.662,-198.364,74.524
-0.637,-1.433,-0.173,115.601,-197.388,81.116
-0.631,-1.436,-0.224,115.295,-196.167,88.318
-0.608,-1.420,-0.278,111.633,-194.824,94.360
-0.576,-1.376,-0.330,106.323,-194.824,99.670
-0.557,-1.325,-0.353,100.769,-196.533,104.309
-0.524,-1.289,-0.381,94.543,-197.571,105.957
-0.498,-1.295,-0.414,91.309,-199.768,107.300
-0.485,-1.331,-0.439,89.172,-203.491,109.863
-0.472,-1.341,-0.473,83.557,-206.299,113.281
-0.446,-1.306,-0.514,75.806,-209.045,117.676
-0.419,-1.264,-0.506,69.275,-213.806,121.887
-0.411,-1.230,-0.439,64.148,-218.323,124.756
-0.403,-1.214,-0.361,57.129,-217.163,126.953
-0.368,-1.183,-0.351,47.974,-207.642,127.625
-0.323,-1.156,-0.379,38.574,-196.716,127.747
-0.282,-1.172,-0.432,29.785,-187.805,128.662
-0.238,-1.167,-0.523,18.433,-180.481,129.578
-0.211,-1.118,-0.550,7.141,-180.054,132.874
-0.191,-1.094,-0.552,-4.150,-181.152,135.254
-0.182,-1.077,-0.545,-14.893,-180.847,136.475
-0.169,-1.053,-0.510,-21.362,-182.800,139.526
-0.161,-1.004,-0.480,-24.353,-186.951,144.348
-0.148,-0.978,-0.461,-26.306,-190.491,148.193
-0.145,-0.973,-0.423,-27.527,-193.665,151.001
-0.158,-1.050,-0.380,-24.963,-197.266,155.090
-0.179,-1.157,-0.377,-24.353,-198.425,162.537
-0.189,-1.180,-0.410,-26.978,-198.181,174.561
-0.188,-1.167,-0.463,-26.062,-201.660,191.101
-0.172,-1.066,-0.501,-23.682,-209.656,208.252
-0.125,-0.897,-0.487,-23.682,-221.863,221.436
-0.064,-0.643,-0.408,-22.461,-238.098,228.638
-0.022,-0.437,-0.290,-17.944,-255.920,226.685
-0.007,-0.392,-0.089,-12.878,-270.447,213.928
-0.022,-0.458,0.116,-6.042,-277.649,199.829
-0.003,-0.527,0.213,-1.282,-273.621,190.430
0.034,-0.462,0.225,-5.188,-263.489,184.143
0.095,-0.322,0.273,-14.282,-255.737,177.185
0.135,-0.160,0.385,-25.146,-250.793,166.138
0.151,-0.082,0.511,-37.476,-242.981,150.208
0.157,-0.041,0.680,-52.246,-228.516,130.554
0.164,-0.009,0.831,-67.139,-208.374,110.596
0.206,0.007,0.906,-78.064,-186.157,92.896
0.233,0.038,0.908,-84.961,-166.687,78.186
0.317,0.054,0.824,-87.402,-151.489,65.186
0.391,-0.028,0.500,-83.130,-145.081,55.237
0.312,0.097,0.709,-78.308,-157.104,49.622
0.260,0.105,1.092,-70.129,-161.987,38.696
0.233,0.023,1.341,-59.265,-147.034,27.649
0.251,-0.057,1.343,-46.753,-118.530,21.851
0.302,-0.077,1.203,-37.903,-89.478,19.043
